championship;players_count
Liga;674
Premier League;737
Serie A;826
Bundesliga;503
Ligue 1;683
Premier-Liga;586
Liga Portugal Bwin;607
Jupiler Pro League;580
Brasileiro Serie A;1074
Süper Lig;663
Austrian Bundesliga;349
Eredivisie;608
Scottish Premiership;454
Primera División;568
EFL Championship;972
Liga MX;740
Major League Soccer;824
Chinese Super League;599
Ukrainian Premier League;546
Danish Superliga;450
UAE Pro League;506
Allsvenskan;560
Botola Pro1;491
Championnat d'Arabie saoudite;667
Prva Liga;275
Série B;568
